jornadas;fecha;clasificacion;equipo;puntos;partidos_jugados;partidos_ganados;partidos_empatados;partidos_perdidos;goles_a_favor;goles_en_contra
1;2020/09/12;1;Real Madrid;3;1;1;0;0;2;0
1;2020/09/12;2;Atlético de Madrid;3;1;1;0;0;2;0
1;2020/09/12;3;Barcelona;3;1;1;0;0;3;0
1;2020/09/12;4;Real Betis;3;1;1;0;0;1;0
1;2020/09/12;5;Granada;3;1;1;0;0;2;0
1;2020/09/12;6;Valencia;3;1;1;0;0;4;2
1;2020/09/12;7;Osasuna;3;1;1;0;0;2;0
1;2020/09/12;8;R. Sociedad;1;1;0;1;0;1;1
1;2020/09/12;9;Villarreal;1;1;0;1;0;1;1
1;2020/09/12;10;Celta;1;1;0;1;0;0;0
1;2020/09/12;11;Huesca;1;1;0;1;0;1;1
1;2020/09/12;12;Eibar;1;1;0;1;0;0;0
1;2020/09/12;13;Real Valladolid;1;1;0;1;0;1;1
1;2020/09/12;14;Alavés;0;1;0;0;1;0;1
1;2020/09/12;15;Levante;0;1;0;0;1;2;4
1;2020/09/12;16;Athletic;0;1;0;0;1;0;2
1;2020/09/12;17;Cádiz;0;1;0;0;1;0;2
1;2020/09/12;18;Getafe;0;1;0;0;1;0;2
1;2020/09/12;19;Sevilla;0;1;0;0;1;0;2
1;2020/09/12;20;Elche;0;1;0;0;1;0;3
2;2020/09/19;1;Barcelona;6;2;2;0;0;6;2
2;2020/09/19;2;Granada;6;2;2;0;0;4;1
2;2020/09/19;3;Real Betis;6;2;2;0;0;3;0
2;2020/09/19;4;Real Madrid;4;2;1;1;0;2;0
2;2020/09/19;5;Atlético de Madrid;4;2;1;1;0;3;1
2;2020/09/19;6;Villarreal;4;2;1;1;0;3;2
2;2020/09/19;7;Celta;4;2;1;1;0;2;1
2;2020/09/19;8;Sevilla;3;2;1;0;1;2;2
2;2020/09/19;9;Getafe;3;2;1;0;1;1;2
2;2020/09/19;10;Osasuna;3;2;1;0;1;2;1
2;2020/09/19;11;Cádiz;3;2;1;0;1;2;2
2;2020/09/19;12;Valencia;3;2;1;0;1;5;4
2;2020/09/19;13;R. Sociedad;2;2;0;2;0;1;1
2;2020/09/19;14;Huesca;1;2;0;1;1;1;3
2;2020/09/19;15;Levante;1;2;0;1;1;3;5
2;2020/09/19;16;Eibar;1;2;0;1;1;1;2
2;2020/09/19;17;Real Valladolid;1;2;0;1;1;1;3
2;2020/09/19;18;Alavés;0;2;0;0;2;1;3
2;2020/09/19;19;Elche;0;2;0;0;2;0;5
2;2020/09/19;20;Athletic;0;2;0;0;2;2;5
3;2020/09/26;1;Barcelona;9;3;3;0;0;10;2
3;2020/09/26;2;Real Madrid;7;3;2;1;0;5;2
3;2020/09/26;3;Atlético de Madrid;7;3;2;1;0;9;2
3;2020/09/26;4;Sevilla;6;3;2;0;1;5;3
3;2020/09/26;5;Granada;6;3;2;0;1;5;7
3;2020/09/26;6;Real Betis;6;3;2;0;1;5;3
3;2020/09/26;7;R. Sociedad;5;3;1;2;0;4;1
3;2020/09/26;8;Celta;5;3;1;2;0;3;2
3;2020/09/26;9;Villarreal;4;3;1;1;1;3;6
3;2020/09/26;10;Getafe;4;3;1;1;1;1;2
